Rank,Release Group,Worldwide,Domestic,Foreign,Filename,Year,Domestic %,Foreign %
227,Mary Poppins Returns,349537494,171958438,177579056,2018.csv,2018,49.19599211865952,50.804007881340475
228,The Lorax,348840316,214030500,134809816,2012.csv,2012,61.354863581765585,38.64513641823441
229,The Maze Runner,348319861,102427862,245891999,2014.csv,2014,29.40626517992323,70.59373482007678
230,The Smurfs 2,347545360,71017784,276527576,2013.csv,2013,20.43410506185437,79.56589493814563
231,Trolls,346864462,153707064,193157398,2016.csv,2016,44.313292608223435,55.68670739177656
232,xXx: Return of Xander Cage,346118277,44898413,301219864,2017.csv,2017,12.971985585147241,87.02801441485276
233,Titanic 2012 3D Release,343550770,57884114,285666656,2012.csv,2012,16.84878016719334,83.15121983280666
234,Star Trek Beyond,343471816,158848340,184623476,2016.csv,2016,46.2478528369268,53.752147163073204
235,Alvin and the Chipmunks: Chipwrecked,342695435,133110742,209584693,2011.csv,2011,38.84228630007867,61.15771369992133
236,A Quiet Place,340939361,188024361,152915000,2018.csv,2018,55.14891576276521,44.85108423723479
237,300: Rise of an Empire,337580051,106580051,231000000,2014.csv,2014,31.571785916935003,68.428214083065
238,Journey 2: The Mysterious Island,335260290,103860290,231400000,2012.csv,2012,30.979001420060815,69.02099857993919
239,The Great Wall,334933831,45540830,289393001,2016.csv,2016,13.596963276008985,86.40303672399101
240,Now You See Me 2,334897606,65075540,269822066,2016.csv,2016,19.431473630778957,80.56852636922105
241,The Good Dinosaur,332207671,123087120,209120551,2015.csv,2015,37.05125761530052,62.94874238469947
242,22 Jump Street,331333876,191719337,139614539,2014.csv,2014,57.86288420445123,42.13711579554878
243,Black Swan,329398046,106954678,222443368,2010.csv,2010,32.46973662982809,67.53026337017191
244,John Wick: Chapter 3 - Parabellum,326709727,171015687,155694040,2019.csv,2019,52.34484096030603,47.65515903969397
245,Taken 3,326479141,89256424,237222717,2015.csv,2015,27.339089329446626,72.66091067055338
246,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,162192000,2015.csv,2015,50.123318949935715,49.87668105006429
247,Megamind,321885765,148415853,173469912,2010.csv,2010,46.10823749848024,53.89176250151976
248,Green Book,321752656,85080171,236672485,2018.csv,2018,26.442725308847177,73.55727469115281
249,Robin Hood,321669741,105269730,216400011,2010.csv,2010,32.7260281532045,67.2739718467955
250,The Conjuring 2,320392818,102470008,217922810,2016.csv,2016,31.982617038562957,68.01738296143705
251,The Last Airbender,319713881,131772187,187941694,2010.csv,2010,41.21566026093187,58.78433973906814
252,The Conjuring,319494638,137400141,182094497,2013.csv,2013,43.005460705102664,56.994539294897336
253,Sonic the Hedgehog,319104189,146066470,173037719,2020.csv,2020,45.7739117928032,54.226088207196796
254,The Expendables 2,314975955,85028192,229947763,2012.csv,2012,26.995137454222494,73.0048625457775
255,Maze Runner: The Scorch Trials,312296056,81697192,230598864,2015.csv,2015,26.16017411375826,73.83982588624174
256,Resident Evil: The Final Chapter,312242626,26830068,285412558,2016.csv,2016,8.5926986791355,91.40730132086449
257,The Lego Batman Movie,311950384,175750384,136200000,2017.csv,2017,56.33921066114155,43.66078933885845
258,Knives Out,311398301,165363234,146035067,2019.csv,2019,53.10344772883009,46.8965522711699
259,Little Fockers,310650585,148438600,162211985,2010.csv,2010,47.78313873125332,52.21686126874668
260,The Ex-File 3: The Return of The Exes,307592427,838959,306753468,2017.csv,2017,0.2727502130603495,99.72724978693965
261,The Fault in Our Stars,307166834,124872350,182294484,2014.csv,2014,40.652940414784496,59.3470595852155
262,Rise of the Guardians,306941670,103412758,203528912,2012.csv,2012,33.691338813657985,66.30866118634202
263,Annabelle: Creation,306515884,102092201,204423683,2017.csv,2017,33.30731173461797,66.69268826538203
264,Wonder,305937718,132422809,173514909,2017.csv,2017,43.284237676114195,56.71576232388581
265,Skyscraper,304868961,68420120,236448841,2018.csv,2018,22.442468323300382,77.55753167669963
266,A Good Day to Die Hard,304654182,67349198,237304984,2013.csv,2013,22.106769569964413,77.89323043003559
267,Dangal,303723636,12391761,291331875,2016.csv,2016,4.079946217949267,95.92005378205073
268,Passengers,303144152,100014699,203129453,2016.csv,2016,32.992455351736425,67.00754464826358
269,Battleship,303025485,65422625,237602860,2012.csv,2012,21.589809517176416,78.41019048282358
270,Wrath of the Titans,301970083,83670083,218300000,2012.csv,2012,27.708070338875256,72.29192966112474
271,Resident Evil: Afterlife,300228084,60128566,240099518,2010.csv,2010,20.02762872776419,79.9723712722358
272,Alice Through the Looking Glass,299457024,77041381,222415643,2016.csv,2016,25.7270241889534,74.27297581104659
273,Real Steel,299268508,85468508,213800000,2011.csv,2011,28.559138604720815,71.44086139527919
274,Ocean's Eight,297718711,140218711,157500000,2018.csv,2018,47.09771533304804,52.90228466695195
275,The Divergent Series: Insurgent,297002527,130179072,166823455,2015.csv,2015,43.83096444159211,56.169035558407884
276,Miss Peregrine's Home for Peculiar Children,296482446,87242834,209239612,2016.csv,2016,29.425969455203425,70.57403054479657
277,Ferdinand,296069199,84410380,211658819,2017.csv,2017,28.510355107894895,71.4896448921051
